PlateLocHeight,PlateLocSide,called_strike_prob
5.3,1.6,0.00
5.3,1.7,0.00
5.3,1.8,0.00
5.3,1.9,0.00
5.3,2,0.00
5.3,2.1,0.00
5.3,2.2,0.00
5.3,2.3,0.00
5.3,2.4,0.00
5.3,2.5,0.00
5.3,2.6,0.00
5.3,2.7,0.00
5.3,2.8,0.00
5.3,2.9,0.00
5.3,3,0.00
5.3,3.2,0.00
5.3,3.3,0.00
5.3,4.1,0.00
5.3,-1.7,0.00
5.3,-1.8,0.00
5.3,-2.1,0.00
5.3,-2.3,0.00
5.3,-2.4,0.00
5.3,-2.5,0.00
5.3,-2.6,0.00
5.3,-2.7,0.00
5.3,-2.9,0.00
5.3,-3,0.00
5.2,-3.3,0.00
5.2,-3.1,0.00
5.2,-2.8,0.00
5.2,-2.7,0.00
5.2,-2.5,0.00
5.2,-2,0.00
5.2,-1.9,0.00
5.2,-1.8,0.00
5.2,-1.7,0.00
5.2,-1.6,0.00
5.2,-1.5,0.00
5.2,-1.4,0.00
5.2,-1.3,0.00
5.2,-1.2,0.00
5.2,-1.1,0.00
5.2,-1,0.00
5.2,-0.9,0.00
5.2,-0.8,0.00
5.2,-0.7,0.00
5.2,-0.6,0.00
5.2,-0.5,0.00
5.2,-0.4,0.00
5.2,-0.3,0.00
5.2,-0.2,0.00
5.2,-0.1,0.00
5.2,0,0.00
5.2,0.1,0.00
5.2,0.2,0.00
5.2,0.3,0.00
5.2,0.4,0.00
5.2,0.5,0.00
5.2,0.6,0.00
5.2,0.7,0.00
5.2,0.8,0.00
5.2,0.9,0.00
5.2,1,0.00
5.2,1.1,0.00
5.2,1.2,0.00
5.2,1.3,0.00
5.2,1.4,0.00
5.2,1.5,0.00
5.2,1.6,0.00
5.2,1.7,0.00
5.2,1.8,0.00
5.2,1.9,0.00
5.2,2,0.00
5.2,2.1,0.00
5.2,2.2,0.00
5.2,2.3,0.00
5.2,2.4,0.00
5.2,2.5,0.00
5.2,2.6,0.00
5.2,2.8,0.00
5.2,3,0.00
5.2,3.2,0.00
5.2,3.7,0.00
5.2,4.1,0.00
5.2,2.9,0.00
5.2,2.7,0.00
5.2,-2.1,0.00
5.2,-2.2,0.00
5.2,-2.3,0.00
5.2,-2.4,0.00
5.2,-2.6,0.00
5.2,-2.9,0.00
5.2,-3,0.00
5.1,-3.4,0.00
5.1,-2.9,0.00
5.1,-2.8,0.00
5.1,-2.7,0.00
5.1,-2.6,0.00
5.1,-2.5,0.00
5.1,-2.3,0.00
5.1,-2.2,0.00
5.1,-2.1,0.00
5.1,-2,0.00
5.1,-1.9,0.00
5.1,-1.8,0.00
5.1,-1.7,0.00
5.1,-1.6,0.00
5.1,-1.5,0.00
5.1,-1.4,0.00
5.1,-1.3,0.00
5.1,-1.2,0.00
5.1,-1.1,0.00
5.1,-1,0.00
5.1,-0.9,0.00
5.1,-0.8,0.00
5.1,-0.7,0.00
5.1,-0.6,0.00
5.1,-0.5,0.00
5.1,-0.4,0.00
5.1,-0.3,0.00
5.1,-0.2,0.00
5.1,-0.1,0.00
5.1,0,0.00
5.1,0.1,0.00
5.1,0.2,0.00
5.1,0.3,0.00
5.1,0.4,0.00
5.1,0.5,0.00
5.1,0.6,0.00
5.1,0.7,0.00
5.1,0.8,0.00
5.1,0.9,0.00
5.1,1,0.00
5.1,1.1,0.00
5.1,1.2,0.00
5.1,1.3,0.00
5.1,1.4,0.00
5.1,1.5,0.00
5.1,1.6,0.00
5.1,1.7,0.00
5.1,1.8,0.00
5.1,1.9,0.00
5.1,2,0.00
5.1,2.1,0.00
5.1,2.2,0.00
5.1,2.3,0.00
5.1,2.5,0.00
5.1,2.6,0.00
5.1,2.7,0.00
5.1,2.8,0.00
5.1,2.9,0.00
5.1,3,0.00
5.1,3.2,0.00
5.1,3.3,0.00
5.1,3.6,0.00
5.1,3.7,0.00
5.1,2.4,0.00
5.1,-2.4,0.00
5.1,-3,0.00
5,-4.2,0.00
5,-3.3,0.00
5,-3.2,0.00
5,-3,0.00
5,-2.9,0.00
5,-2.8,0.00
5,-2.7,0.00
5,-2.5,0.00
5,-2.4,0.00
5,-2.3,0.00
5,-2.2,0.00
5,-2.1,0.00
5,-2,0.00
5,-1.9,0.00
5,-1.8,0.00
5,-1.7,0.00
5,-1.6,0.00
5,-1.5,0.00
5,-1.4,0.00
5,-1.3,0.00
5,-1.2,0.00
5,-1.1,0.00
5,-1,0.00
5,-0.9,0.00
5,-0.8,0.00
5,-0.7,0.00
5,-0.6,0.00
5,-0.5,0.00
5,-0.4,0.00
5,-0.3,0.00
5,-0.2,0.00
